IG,INTGEONAME
S02000260,Auchinairn
S02000261,Woodhill East
S02000262,Woodhill West
S02000263,Westerton East
S02000264,Bishopbriggs West and Cadder
S02000265,Westerton West
S02000266,Kessington East
S02000267,Lenzie South
S02000268,Bishopbriggs North and Kenmure
S02000269,Kessington West
S02000270,Lenzie North
S02000271,South Castlehill and Thorn
S02000272,Kilmardinny West
S02000273,Kilmardinny East
S02000274,Rosebank and Waterside
S02000275,Kirkintilloch South
S02000276,North Castlehill and Thorn
S02000277,Hillhead (S02000277)
S02000278,Torrance and Balmore
S02000279,Keystone and Dougalston
S02000280,Harestanes
S02000281,Kirkintilloch West
S02000282,Barloch
S02000283,Twechar and Harestanes East
S02000284,East Clober and Mains Estate
S02000285,West Clober and Mains Estate
S02000286,Milton of Campsie
S02000287,Lennoxtown
S02000310,Eaglesham and Waterfoot
S02000311,Mearnskirk and South Kirkhill
S02000312,North Kirkhill
S02000313,"Mearns Village, Westacres and Greenfarm"
S02000314,West Neilston and Uplawmoor
S02000316,Whitecraigs and Broom
S02000317,Clarkston and Sheddens
S02000318,Crookfur and Fruin
S02000319,Williamwood
S02000320,Stamperland
S02000321,West Arthurlie and North Neilston
S02000322,Auchenback
S02000323,Lower Whitecraigs and South Giffnock
S02000324,South Thornliebank and Woodfarm
S02000325,Netherlee
S02000326,Merrylee and Braidbar
S02000327,North Giffnock and North Thornliebank
S02000328,"Dunterlie, East Arthurlie and Dovecothall"
S02000329,Cross Stobbs
S02000584,Carmunnock South
S02000585,Glenwood South
S02000586,Darnley West
S02000587,Darnley East
S02000588,Glenwood North
S02000589,Castlemilk
S02000590,Darnley North
S02000591,Carmunnock North
S02000592,Carnwadric West
S02000593,Muirend and Old Cathcart
S02000594,Carnwadric East
S02000595,Kingspark South
S02000596,Newlands
S02000597,Nitshill
S02000598,Merrylee and Millbrae
S02000599,Cathcart
S02000600,Kingspark North
S02000601,Crookston South
S02000602,Pollokshaws
S02000603,Mount Florida
S02000604,Langside
S02000605,Shawlands East
S02000606,Crookston North
S02000607,Battlefield
S02000608,Pollok South and West
S02000609,Shawlands West
S02000610,Toryglen and Oatlands
S02000611,Shettleston South
S02000612,Maxwell Park
S02000613,Carmyle and Mount Vernon South
S02000614,Strathbungo
S02000615,Govanhill East and Aikenhead
S02000616,Govanhill West
S02000617,Pollok North and East
S02000618,Baillieston East
S02000619,Dalmarnock
S02000620,Braidfauld
S02000621,Mosspark
S02000622,Pollokshields East
S02000623,Mount Vernon North and Sandyhills
S02000624,Pollokshields West
S02000625,Cardonald South and East
S02000626,Baillieston West
S02000627,Cardonald West and Central
S02000628,Gorbals and Hutchesontown
S02000629,Parkhead East and Braidfauld North
S02000630,Tollcross
S02000631,Kingston West and Dumbreck
S02000632,Shettleston North
S02000633,Parkhead West and Barrowfield
S02000634,Laurieston and Tradeston
S02000635,"Calton, Galllowgate and Bridgeton"
S02000636,Garrowhill West
S02000637,Cardonald North
S02000638,Craigton
S02000639,Hillington
S02000640,Greenfield
S02000641,Penilee
S02000642,Kinning Park and Festival Park
S02000643,Old Shettleston and Parkhead North
S02000644,Ibrox East and Cessnock
S02000645,Garrowhill East and Swinton
S02000646,Barlanark
S02000647,Gallowgate North and Bellgrove
S02000648,Carntyne West and Haghill
S02000649,Ibrox
S02000650,Dennistoun
S02000651,Anderston
S02000652,North Barlanark and Easterhouse South
S02000653,Easterhouse East
S02000654,"Cranhill, Lightburn and Queenslie South"
S02000655,City Centre West
S02000656,Govan and Linthouse
S02000657,Carntyne
S02000658,City Centre East
S02000659,Dennistoun North and Alexandra Parade
S02000660,Drumoyne and Shieldhall
S02000661,Finnieston and Kelvinhaugh
S02000662,Central Easterhouse
S02000663,Craigend and Ruchazie
S02000664,Hillhead (S02000664)
S02000665,Woodlands
S02000666,"Roystonhill, Blochairn, and Provanmill"
S02000667,Riddrie and Hogganfield
S02000668,Glasgow Harbour and  Partick South
S02000669,Woodside
S02000670,Sighthill
S02000671,Partick
S02000672,Kelvingrove and University
S02000673,Whiteinch
S02000674,"Garthamlock, Auchinlea and Gartloch"
S02000675,Firhill
S02000676,Cowlairs and Port Dundas
S02000677,Partickhill and Hyndland
S02000678,Blackhill and Barmulloch East
S02000679,Broomhill
S02000680,Petershill
S02000681,Dowanhill
S02000682,Victoria Park
S02000683,North Kelvin
S02000684,Scotstoun South and West
S02000685,Keppochhill
S02000686,Scotstoun North and East
S02000687,Barmulloch
S02000688,Ruchill
S02000689,Kelvinside and Jordanhill
S02000690,Kelvindale
S02000691,Springburn
S02000692,Possil Park
S02000693,Wyndford
S02000694,Springburn East and Cowlairs
S02000695,Robroyston and Millerston
S02000696,Yoker South
S02000697,Balornock
S02000698,Knightswood Park East
S02000699,Knightswood East
S02000700,Maryhill West
S02000701,Milton West
S02000702,Anniesland East
S02000703,Knightswood West
S02000704,Maryhill East
S02000705,Anniesland West
S02000706,Knightswood Park West
S02000707,Yoker North
S02000708,Milton East
S02000709,Blairdardie East
S02000710,Summerston North
S02000711,Blairdardie West
S02000712,Drumchapel South
S02000713,Summerston Central and West
S02000714,Drumry West
S02000715,Drumchapel North
S02000716,Drumry East
S02000771,Kilmacolm Central
S02000772,"Kilmacolm, Quarriers, Greenock Upper East/Central"
S02000773,Inverkip and Wemyss Bay
S02000774,Port Glasgow Upper East
S02000775,"Port Glasgow Mid, East and Central"
S02000776,"Port Glasgow Upper, West and Central"
S02000777,"West Braeside, East Inverkip and West Gourock"
S02000778,Greenock East
S02000779,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton"
S02000780,Greenock Upper Central
S02000781,Greenock Town Centre and East Central
S02000782,"Braeside, Branchton, Lower Larkfield and Ravenscra"
S02000783,"Lower Bow & Larkfield, Fancy Farm, Mallard Bowl"
S02000784,Greenock West and Central
S02000785,"Gourock Central, Upper East and IRH"
S02000786,Gourock Upper and West Central & Upper Larkfield
S02000787,"Gourock East, Greenock West and Lyle Road"
S02000923,Stepps
S02000925,Chryston and Muirhead
S02000926,Moodiesburn West
S02000927,Moodiesburn East
S02000983,Lochwinnoch
S02000984,Renfrewshire Rural South & Howwood
S02000985,Paisley Glenburn West
S02000986,Paisley Glenburn East
S02000987,Paisley Foxbar
S02000988,Johnstone South West
S02000989,Paisley Dykebar
S02000990,Paisley South West
S02000991,Paisley South East
S02000992,Johnstone South East
S02000993,Paisley South
S02000994,Johnstone North West
S02000995,Paisley West
S02000996,Kilbarchan
S02000997,Paisley East
S02000998,Johnstone North East
S02000999,Elderslie and Phoenix
S02001000,Paisley Central
S02001001,Paisley North West
S02001002,Paisley Ralston
S02001003,Paisley Ferguslie
S02001004,Paisley North East
S02001005,Linwood South
S02001006,Linwood North
S02001007,Paisley Gallowhill and Hillington
S02001008,Bridge of Weir
S02001009,Houston South
S02001010,Paisley North
S02001011,Renfrew South
S02001012,Houston North
S02001013,Renfrew East
S02001014,Renfrew West
S02001015,Renfrewshire Rural North and Langbank
S02001016,Renfrew North
S02001017,Erskine East and Inchinnan
S02001018,Erskine Central
S02001019,Erskine West
S02001020,Bishopton
S02001146,Fernhill and Cathkin
S02001148,Whitlawburn and Greenlees
S02001149,Vicarland and Cairns
S02001150,Burnside and Springhall
S02001152,Spittal
S02001153,Cambuslang Central
S02001154,High Crosshill
S02001156,"Halfway, Hallside and Drumsagard"
S02001157,Westburn and Newton
S02001158,Bankhead South
S02001159,"Burgh, Eastfield and Silverbank"
S02001160,Burnhill and Bankhead North
S02001161,Shawfield and Clincarthill
S02001162,Farme Cross and Gallowflat North
S02001184,IZ One
S02001185,IZ Two
S02001186,IZ Three
S02001187,IZ Four
S02001188,IZ Five
S02001189,IZ Six
S02001190,IZ Seven
S02001191,IZ Eight
S02001192,IZ Nine
S02001193,IZ Ten
S02001194,IZ Eleven
S02001195,IZ Twelve
S02001196,IZ Thirteen
S02001197,IZ Fourteen
S02001198,IZ Fifteen
S02001199,IZ Sixteen
S02001200,IZ Seventeen
S02001201,IZ Eighteen
